2020-06-27T00:00:00Z,12715
2020-06-28T00:00:00Z,12757
2020-06-29T00:00:00Z,12800
2020-06-30T00:00:00Z,12850
2020-07-01T00:00:00Z,12904
2020-07-02T00:00:00Z,12967
2020-07-03T00:00:00Z,13030
2020-07-04T00:00:00Z,13091
2020-07-05T00:00:00Z,13137
2020-07-06T00:00:00Z,13181
2020-07-07T00:00:00Z,13244
2020-07-08T00:00:00Z,13293
2020-07-09T00:00:00Z,13338
2020-07-10T00:00:00Z,13373
2020-07-11T00:00:00Z,13417
2020-07-12T00:00:00Z,13479
2020-07-13T00:00:00Z,13512
2020-07-14T00:00:00Z,13551
2020-07-15T00:00:00Z,13612
2020-07-16T00:00:00Z,13672
2020-07-17T00:00:00Z,13711
2020-07-18T00:00:00Z,13745
2020-07-19T00:00:00Z,13771
2020-07-20T00:00:00Z,13816
2020-07-21T00:00:00Z,13879
2020-07-22T00:00:00Z,13938
2020-07-23T00:00:00Z,13979
2020-07-24T00:00:00Z,14092
2020-07-25T00:00:00Z,14150
2020-07-26T00:00:00Z,14175
2020-07-27T00:00:00Z,14203
